estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,cantidad_museos,pobtot,habxm,habxm2,habxm3,museo_por,fecha_calculo
6,Colima,5,Cuauhtémoc,18,Quesería,1,8611,8611,0.086,11.613,0,04/06/2021
6,Colima,6,Ixtlahuacán,0,,1,5300,5300,0.053,18.868,0,04/06/2021
6,Colima,6,Ixtlahuacán,1,Ixtlahuacán,1,2717,2717,0.027,36.805,0,04/06/2021
6,Colima,8,Minatitlán,0,,1,8174,8174,0.082,12.234,0,04/06/2021
6,Colima,8,Minatitlán,1,Minatitlán,1,4588,4588,0.046,21.796,0,04/06/2021
6,Colima,9,Tecomán,0,,1,112726,112726,1.127,0.887,0,04/06/2021
6,Colima,9,Tecomán,1,Tecomán,1,85689,85689,0.857,1.167,0,04/06/2021
6,Colima,10,Villa de Álvarez,0,,1,119956,119956,1.2,0.834,0,04/06/2021
6,Colima,10,Villa de Álvarez,1,Ciudad de Villa de Álvarez,1,117600,117600,1.176,0.85,0,04/06/2021
7,Chiapas,0,,0,,49,4796580,97889,0.979,1.022,0,04/06/2021
7,Chiapas,9,Arriaga,0,,1,40042,40042,0.4,2.497,0,04/06/2021
7,Chiapas,9,Arriaga,1,Arriaga,1,24447,24447,0.244,4.09,0,04/06/2021
7,Chiapas,19,Comitán de Domínguez,0,,5,141013,28203,0.282,3.546,0,04/06/2021
7,Chiapas,19,Comitán de Domínguez,1,Comitán de Domínguez,4,97537,24384,0.244,4.101,0,04/06/2021
7,Chiapas,19,Comitán de Domínguez,53,Francisco Sarabia,1,1673,1673,0.017,59.773,0,04/06/2021
7,Chiapas,21,Copainalá,0,,1,21050,21050,0.211,4.751,0,04/06/2021
7,Chiapas,21,Copainalá,1,Copainalá,1,6550,6550,0.066,15.267,0,04/06/2021
7,Chiapas,27,Chiapa de Corzo,0,,4,87603,21901,0.219,4.566,0,04/06/2021
7,Chiapas,27,Chiapa de Corzo,1,Chiapa de Corzo,4,45077,11269,0.113,8.874,0,04/06/2021
7,Chiapas,59,Ocosingo,0,,2,198877,99439,0.994,1.006,0,04/06/2021
7,Chiapas,59,Ocosingo,1,Ocosingo,2,41878,20939,0.209,4.776,0,04/06/2021
7,Chiapas,61,Ocozocoautla de Espinosa,0,,1,82059,82059,0.821,1.219,0,04/06/2021
